ID,TITLE,ANSWER,Level,lex_score,grammar_score,dictation_score,reasons
49,#49 WFD,Our view is that all the educational reforms have been inadequately implemented.,3,1,2,1,"lex=1(rare_avg=3.33: inadequately(2.60), reforms(4.06)) | grammar=passive(been inadequately implemented); perfect(have been inadequately implemented) | dictation=long(12)"
50,#50 WFD,"All writers, consciously or unconsciously, represent their own culture.",1,1,0,1,"lex=1(rare_avg=3.27: unconsciously(3.04), consciously(3.50)) | dictation=list_enum"
51,#51 WFD,"Although sustainable development is not easy, it is an unavoidable responsibility.",2,1,1,2,"lex=1(rare_avg=3.77: unavoidable(3.35), sustainable(4.19)) | grammar=adv_sub(although) | dictation=long(11); dense(6)"
52,#52 WFD,"In recent years, America has developed a coffee culture.",1,0,1,0,"lex=0(rare_avg=4.91: coffee(4.86), developed(4.95)) | grammar=perfect(has developed)"
53,#53 WFD,Our undergraduate courses are designed with employment ability in mind.,1,0,1,1,"lex=0(rare_avg=4.16: undergraduate(3.85), courses(4.46)) | grammar=passive(are designed with employment) | dictation=dense(6)"
54,#54 WFD,The National Center of Excellence is currently being built.,1,0,1,0,"lex=0(rare_avg=5.08: built(5.07), currently(5.08)) | grammar=passive(is currently being built)"
55,#55 WFD,An ancient text may hold secrets which were lost centuries ago.,3,0,2,2,"lex=0(rare_avg=4.31: secrets(4.31), centuries(4.32)) | grammar=modal(may); relative(which) | dictation=long(11); dense(7)"
56,#56 WFD,An architect requires problem-solving skills and an eye for design.,1,0,0,1,"lex=0(rare_avg=4.04: solving(3.99), architect(4.08)) | dictation=dense(7)"
57,#57 WFD,Research shows that knowledge and experience are essential to creativity.,1,0,0,1,"lex=0(rare_avg=4.31: creativity(4.01), essential(4.61)) | dictation=dense(6)"
58,#58 WFD,"And in that regard, as well as in other regards, it stands as an important contribution.",2,0,0,3,"lex=0(rare_avg=4.27: regards(4.20), contribution(4.34)) | dictation=list_enum; long(16); dense(6)"
59,#59 WFD,Animals raised in captivity behave differently from their wild counterparts.,1,1,0,1,"lex=1(rare_avg=3.66: captivity(3.56), counterparts(3.75)) | dictation=dense(7)"
60,#60 WFD,The library is located on the north side of the campus.,2,0,1,1,"lex=0(rare_avg=4.69: campus(4.51), library(4.86)) | grammar=passive(is located) | dictation=long(11)"
61,#61 WFD,"Artists, other than politicians, played their own roles as critics of the culture.",2,0,0,3,"lex=0(rare_avg=4.42: critics(4.39), roles(4.44)) | dictation=list_enum; long(13); dense(6)"
62,#62 WFD,The school theater study helps students to exercise their activities.,1,0,0,1,"lex=0(rare_avg=4.51: theater(4.35), exercise(4.68)) | dictation=dense(7)"
63,#63 WFD,Atmosphere is composed of several layers.,1,0,1,0,"lex=0(rare_avg=4.22: layers(4.17), composed(4.27)) | grammar=passive(is composed)"
64,#64 WFD,Attracting skilled workers to the city with expensive housing is hard.,2,0,0,2,"lex=0(rare_avg=3.91: attracting(3.69), skilled(4.13)) | dictation=long(11); dense(7)"
65,#65 WFD,"Poverty exists everywhere, but the situation has improved.",1,0,1,0,"lex=0(rare_avg=4.47: poverty(4.46), exists(4.48)) | grammar=perfect(has improved)"
66,#66 WFD,Bad policy decisions led to the financial crisis.,1,0,0,1,"lex=0(rare_avg=4.67: crisis(4.62), decisions(4.72)) | dictation=dense(6)"
67,#67 WFD,"Before attending the lecture, you must register online or by post.",2,0,1,1,"lex=0(rare_avg=4.22: lecture(4.14), attending(4.31)) | grammar=modal(must) | dictation=long(11)"
68,#68 WFD,"Before completing the exercise, you need to read the remaining chapters.",2,0,0,2,"lex=0(rare_avg=4.08: completing(4.06), chapters(4.10)) | dictation=long(11); dense(6)"
69,#69 WFD,"Before submitting your dissertation, your advisor must approve your application.",1,1,1,0,"lex=1(rare_avg=3.63: submitting(3.56), dissertation(3.70)) | grammar=modal(must)"
70,#70 WFD,"Behind the barn, there is a flat cart drawn by mules.",2,1,0,2,"lex=1(rare_avg=3.54: mules(3.11), cart(3.98)) | dictation=long(11); dense(6)"
71,#71 WFD,"Often, people do not listen to understand; they listen to respond.",2,0,0,2,"lex=0(rare_avg=4.79: respond(4.53), listen(5.06)) | dictation=long(11); dense(6)"
72,#72 WFD,There are still some tickets available for the concert next Wednesday.,1,0,0,1,"lex=0(rare_avg=4.57: concert(4.55), tickets(4.60)) | dictation=long(11)"
73,#73 WFD,Weather forecasts will have a big change in the next century.,2,0,0,2,"lex=0(rare_avg=4.22: forecasts(3.58), weather(4.87)) | dictation=long(11); dense(6)"
74,#74 WFD,Below the heating controls in the middle is a small round plastic button.,2,0,0,2,"lex=0(rare_avg=4.29: heating(4.18), controls(4.41)) | dictation=long(13); dense(7)"
75,#75 WFD,The horizontal line on the graph indicates that there was no change in the period.,2,0,0,2,"lex=0(rare_avg=3.97: horizontal(3.90), graph(4.05)) | dictation=long(15); dense(6)"
76,#76 WFD,Building trust is not something that can be achieved overnight.,1,0,1,0,"lex=0(rare_avg=4.34: overnight(4.19), achieved(4.49)) | grammar=passive(be achieved)"
77,#77 WFD,Calculations may not be needed in this examination.,3,0,2,0,"lex=0(rare_avg=4.06: calculations(3.87), examination(4.26)) | grammar=modal(may); passive(be needed)"
78,#78 WFD,Career opportunities in this field are quite limited.,1,0,1,0,"lex=0(rare_avg=4.81: opportunities(4.61), limited(5.02)) | grammar=passive(are quite limited)"
79,#79 WFD,Use the camera to see the fish.,1,0,0,0,"lex=0(rare_avg=4.88: camera(4.87), fish(4.90))"
80,#80 WFD,Contracts can help to avoid misunderstandings between businesses.,1,1,0,0,"lex=1(rare_avg=3.75: misunderstandings(3.11), contracts(4.40))"
81,#81 WFD,Certain scientific principles must be learned verbally or by logical deduction.,3,1,2,2,"lex=1(rare_avg=3.44: verbally(3.41), deduction(3.46)) | grammar=modal(must); passive(be learned) | dictation=long(11); dense(7)"
82,#82 WFD,Cinema and music are as important as science and mathematics.,1,0,1,0,"lex=0(rare_avg=4.16: mathematics(4.15), cinema(4.17)) | grammar=passive(are as important)"
83,#83 WFD,Please click the logo above to enter the site.,1,0,0,0,"lex=0(rare_avg=4.54: logo(4.28), enter(4.81))"
84,#84 WFD,Climate change is a fierce phenomenon acknowledged by scientists.,1,0,0,1,"lex=0(rare_avg=4.00: fierce(3.92), acknowledged(4.08)) | dictation=dense(6)"
85,#85 WFD,Climate change is now an acceptable phenomenon among a group of reputable scientists.,2,1,0,2,"lex=1(rare_avg=3.77: reputable(3.41), phenomenon(4.13)) | dictation=long(13); dense(8)"
86,#86 WFD,Clinical placements in nursing prepare students for professional practice.,1,1,0,1,"lex=1(rare_avg=3.79: placements(3.27), nursing(4.32)) | dictation=dense(7)"
87,#87 WFD,Collaboration between departments is a feature of successful companies.,1,0,0,0,"lex=0(rare_avg=4.24: departments(4.20), collaboration(4.28))"
88,#88 WFD,Companies want to protect their brands from negative comments.,1,0,0,1,"lex=0(rare_avg=4.55: brands(4.32), negative(4.79)) | dictation=dense(6)"
89,#89 WFD,Competition for places in this course is fierce.,1,0,0,0,"lex=0(rare_avg=4.42: fierce(3.92), competition(4.91))"
90,#90 WFD,Students are required to have an undergraduate degree in biology to be enrolled in this course.,2,1,1,2,"lex=1(rare_avg=3.88: undergraduate(3.85), enrolled(3.92)) | grammar=passive(are required) | dictation=long(16); dense(7)"
91,#91 WFD,Conferences ought to be always scheduled two weeks in advance.,1,0,1,1,"lex=0(rare_avg=4.19: conferences(4.03), ought(4.35)) | grammar=passive(be always scheduled) | dictation=dense(6)"
92,#92 WFD,Consumer confidence has a direct influence on sales.,1,0,0,0,"lex=0(rare_avg=4.61: consumer(4.56), confidence(4.65))"
93,#93 WFD,Control systems in manufacturing provide a high level of accuracy.,1,0,0,1,"lex=0(rare_avg=4.40: accuracy(4.24), manufacturing(4.56)) | dictation=dense(7)"
94,#94 WFD,Convincing evidence to support this theory is hard to obtain.,1,0,0,1,"lex=0(rare_avg=4.19: convincing(3.97), obtain(4.40)) | dictation=dense(6)"
95,#95 WFD,Coursework and exams will form part of the annual assessment.,1,1,0,1,"lex=1(rare_avg=3.50: coursework(3.00), exams(4.00)) | dictation=dense(6)"
96,#96 WFD,Create a playlist of your favorite music to help you relax in difficult situations.,2,0,0,2,"lex=0(rare_avg=3.95: playlist(3.61), relax(4.29)) | dictation=long(14); dense(8)"
97,#97 WFD,Daily practice can build confidence and improve skills.,1,0,0,1,"lex=0(rare_avg=4.71: confidence(4.65), skills(4.77)) | dictation=dense(6)"
98,#98 WFD,"Global connections increased in academic communities, thanks to social media.",1,0,0,1,"lex=0(rare_avg=4.45: connections(4.32), academic(4.57)) | dictation=dense(8)"
99,#99 WFD,"Despite the protest, the chemistry department was closed down.",3,0,2,0,"lex=0(rare_avg=4.40: chemistry(4.35), protest(4.45)) | grammar=adv_sub(despite); passive(was closed)"
100,#100 WFD,"Doctoral writings have a structure in place, as well as scientific papers.",2,1,0,2,"lex=1(rare_avg=3.76: doctoral(3.55), writings(3.98)) | dictation=long(12); dense(7)"
101,#101 WFD,Classical mechanics is sometimes considered as a branch of applied mathematics.,2,0,1,2,"lex=0(rare_avg=4.14: mechanics(4.13), mathematics(4.15)) | grammar=passive(is sometimes considered) | dictation=long(11); dense(7)"
102,#102 WFD,The course places considerable emphasis on critical thinking skills.,1,0,0,1,"lex=0(rare_avg=4.22: emphasis(4.19), considerable(4.25)) | dictation=dense(7)"
103,#103 WFD,Eating too much can lead to too many health problems.,1,0,0,1,"lex=0(rare_avg=5.02: eating(4.85), problems(5.19)) | dictation=dense(6)"
104,#104 WFD,Economic problems caused a big rise in unemployment.,1,0,0,1,"lex=0(rare_avg=4.51: unemployment(4.22), rise(4.81)) | dictation=dense(6)"
105,#105 WFD,The economic strength of the early Roman Republic will be examined.,2,0,1,1,"lex=0(rare_avg=4.45: examined(4.10), strength(4.80)) | grammar=passive(be examined) | dictation=long(11)"
106,#106 WFD,Education and training provide important skills for the labor force.,1,0,0,1,"lex=0(rare_avg=4.77: skills(4.77), labor(4.77)) | dictation=dense(7)"
107,#107 WFD,Efforts are being made to reduce harmful emissions.,1,0,0,0,"lex=0(rare_avg=4.02: harmful(3.97), emissions(4.07))"
108,#108 WFD,Eight groups need to submit the outlines of their projects to their tutors.,2,1,0,2,"lex=1(rare_avg=3.38: tutors(3.15), outlines(3.60)) | dictation=long(13); dense(7)"
109,#109 WFD,We are on track for one billion tobacco-related deaths this century.,2,0,0,2,"lex=0(rare_avg=4.36: tobacco(4.19), deaths(4.53)) | dictation=long(11); dense(7)"
110,#110 WFD,"A demonstrated ability to write clear, correct and concise English is obligatory.",2,1,0,3,"lex=1(rare_avg=3.42: obligatory(3.39), concise(3.46)) | dictation=list_enum; long(12); dense(7)"
112,#112 WFD,Essential textbooks can be purchased from the campus bookshop.,1,1,1,0,"lex=1(rare_avg=3.38: bookshop(3.11), textbooks(3.66)) | grammar=passive(be purchased)"
113,#113 WFD,A good research assistant is not afraid to ask questions.,1,0,0,1,"lex=0(rare_avg=4.71: afraid(4.70), assistant(4.72)) | dictation=dense(6)"
114,#114 WFD,The evaluation form will be reviewed by university personnel.,1,0,1,0,"lex=0(rare_avg=4.22: evaluation(4.21), reviewed(4.23)) | grammar=passive(be reviewed)"
115,#115 WFD,Every student has both the right and the ability to succeed.,1,0,0,1,"lex=0(rare_avg=4.62: succeed(4.29), ability(4.96)) | dictation=long(11)"
116,#116 WFD,The urban planner must ensure that the traffic flow is smooth.,2,0,1,2,"lex=0(rare_avg=3.96: planner(3.53), smooth(4.40)) | grammar=modal(must) | dictation=long(11); dense(6)"
117,#117 WFD,Exercise reduces the risk of morbid obesity.,1,1,0,0,"lex=1(rare_avg=3.54: morbid(3.26), obesity(3.81))"
118,#118 WFD,Experts are now able to forecast weather over much longer periods.,2,0,0,2,"lex=0(rare_avg=4.21: forecast(4.09), periods(4.33)) | dictation=long(11); dense(7)"
119,#119 WFD,Experts are thinking that the world's climate is changing.,1,0,0,1,"lex=0(rare_avg=4.56: experts(4.52), world's(4.61)) | dictation=contraction"
120,#120 WFD,Experts believe that industrial development will help the economy.,1,0,0,1,"lex=0(rare_avg=4.62: experts(4.52), industrial(4.71)) | dictation=dense(6)"
121,#121 WFD,Fashion trends help people to make life interesting.,1,0,0,1,"lex=0(rare_avg=4.57: trends(4.32), fashion(4.82)) | dictation=dense(7)"
122,#122 WFD,A good way to improve vocabulary is repetition.,1,1,0,0,"lex=1(rare_avg=3.65: repetition(3.48), vocabulary(3.82))"
123,#123 WFD,Final year business students have to write a five-thousand-word essay on market trends.,2,0,0,2,"lex=0(rare_avg=4.28: essay(4.23), trends(4.32)) | dictation=long(13); dense(11)"
124,#124 WFD,Find out how to get your resources before your research.,1,0,0,0,"lex=0(rare_avg=5.15: resources(4.91), research(5.39))"
125,#125 WFD,Meeting with mentors can be scheduled for students who require additional support.,3,1,2,2,"lex=1(rare_avg=3.87: mentors(3.29), scheduled(4.45)) | grammar=passive(be scheduled); relative(who) | dictation=long(12); dense(7)"
126,#126 WFD,Freshwater creatures didn't appear in the paintings until the modern period.,2,1,0,3,"lex=1(rare_avg=3.86: freshwater(3.52), paintings(4.20)) | dictation=contraction; long(11); dense(8)"
127,#127 WFD,Generally young children around the world enjoy listening to stories.,1,0,0,1,"lex=0(rare_avg=4.80: listening(4.66), generally(4.95)) | dictation=dense(8)"
128,#128 WFD,Geography is generally divided into two main branches: human and physical.,2,0,1,2,"lex=0(rare_avg=4.09: geography(3.98), branches(4.21)) | grammar=passive(is generally divided) | dictation=long(11); dense(8)"
129,#129 WFD,Good research delivers practical benefit to real people.,1,0,0,1,"lex=0(rare_avg=4.17: delivers(3.86), practical(4.48)) | dictation=dense(7)"
130,#130 WFD,This course mainly introduces statistics and data analysis.,1,0,0,1,"lex=0(rare_avg=4.20: introduces(3.80), mainly(4.60)) | dictation=dense(6)"
131,#131 WFD,The electric buses have an impact on air pollution.,1,0,0,0,"lex=0(rare_avg=4.11: buses(4.02), pollution(4.20))"
132,#132 WFD,Government reforms have been proposed at all levels.,3,0,2,0,"lex=0(rare_avg=4.38: reforms(4.06), proposed(4.71)) | grammar=passive(been proposed); perfect(have been proposed)"
133,#133 WFD,There will be no tutorials until next week.,1,0,0,0,"lex=0(rare_avg=4.51: tutorials(3.46), week(5.56))"
134,#134 WFD,The study of anthropology can help us to learn about society today.,2,0,0,2,"lex=0(rare_avg=4.41: anthropology(3.65), learn(5.17)) | dictation=long(12); dense(6)"
135,#135 WFD,A lack of sleep can increase the chance of some illnesses.,1,0,0,1,"lex=0(rare_avg=4.29: illnesses(3.67), lack(4.92)) | dictation=long(11)"
136,#136 WFD,He landed a job in a very prestigious law firm.,1,0,0,0,"lex=0(rare_avg=4.05: prestigious(3.86), landed(4.24))"
137,#137 WFD,He started his tutorial presentation right on time.,1,0,0,0,"lex=0(rare_avg=4.05: tutorial(3.80), presentation(4.31))"
138,#138 WFD,He was not the only one to call for a legal reform in the sixteenth century.,2,0,0,2,"lex=0(rare_avg=3.96: sixteenth(3.38), reform(4.53)) | dictation=long(16); dense(6)"
139,#139 WFD,Put the knife and fork next to the spoon near the edge of the table.,2,0,0,2,"lex=0(rare_avg=3.96: spoon(3.88), fork(4.03)) | dictation=long(15); dense(8)"
140,#140 WFD,Heavy rain will fall across the city next week.,1,0,0,1,"lex=0(rare_avg=4.83: rain(4.71), heavy(4.96)) | dictation=dense(7)"
141,#141 WFD,A higher number of patients were infected during previous outbreaks of illness.,2,1,1,2,"lex=1(rare_avg=3.74: outbreaks(3.35), infected(4.13)) | grammar=passive(were infected) | dictation=long(12); dense(7)"
142,#142 WFD,The typical part of this course involves the study of society.,2,0,0,2,"lex=0(rare_avg=4.46: involves(4.34), typical(4.59)) | dictation=long(11); dense(6)"
143,#143 WFD,Hundreds of scientific papers have been published on global warming.,3,0,2,1,"lex=0(rare_avg=4.33: warming(4.05), hundreds(4.61)) | grammar=passive(been published); perfect(have been published) | dictation=dense(6)"
144,#144 WFD,I don't think it's possible to solve the problem easily.,1,0,0,2,"lex=0(rare_avg=4.67: solve(4.42), easily(4.91)) | dictation=contraction; dense(7)"
145,#145 WFD,Poor posture and neck strain are common for office workers.,1,0,0,1,"lex=0(rare_avg=3.90: posture(3.65), strain(4.15)) | dictation=dense(7)"
146,#146 WFD,I thought we would meet in the small meeting room.,1,0,1,0,"lex=0(rare_avg=5.21: meeting(5.15), meet(5.27)) | grammar=modal(would)"
147,#147 WFD,I will come back to this in a moment.,1,0,0,0,"lex=0(rare_avg=5.51: moment(5.24), come(5.78))"
148,#148 WFD,I will now demonstrate how the reaction can be arrested by adding a dilute acid.,2,1,1,2,"lex=1(rare_avg=3.69: dilute(3.18), demonstrate(4.20)) | grammar=passive(be arrested) | dictation=long(15); dense(6)"
149,#149 WFD,Identity theft happens to thousands of people every day.,1,0,0,1,"lex=0(rare_avg=4.39: theft(4.13), identity(4.65)) | dictation=dense(6)"
150,#150 WFD,"If finance is a cause of concern, scholarships may be available.",2,0,1,1,"lex=0(rare_avg=4.21: scholarships(3.76), finance(4.65)) | grammar=modal(may) | dictation=long(11)"
151,#151 WFD,The new research has produced some other unexpected results.,1,0,1,0,"lex=0(rare_avg=4.55: unexpected(4.23), produced(4.87)) | grammar=perfect(has produced)"
152,#152 WFD,"If you are not sure, phone student services for help.",1,0,0,0,"lex=0(rare_avg=5.16: student(5.02), phone(5.30))"
153,#153 WFD,"If you need additional help, please visit the university resources center.",2,0,0,2,"lex=0(rare_avg=4.95: resources(4.91), additional(4.98)) | dictation=long(11); dense(8)"
154,#154 WFD,Global pollution levels are rising at an increasing rate.,1,0,0,1,"lex=0(rare_avg=4.36: pollution(4.20), rising(4.52)) | dictation=dense(6)"
155,#155 WFD,Important details from the argument are missing in the summary.,1,0,0,0,"lex=0(rare_avg=4.50: summary(4.37), argument(4.64))"
156,#156 WFD,All of your assignments are due by tomorrow.,1,0,0,0,"lex=0(rare_avg=4.45: assignments(3.88), tomorrow(5.02))"
157,#157 WFD,"In addition to the class requirements, students must pass the qualifying examinations.",2,1,1,2,"lex=1(rare_avg=3.81: examinations(3.61), qualifying(4.01)) | grammar=modal(must) | dictation=long(12); dense(7)"
158,#158 WFD,"In this language course, we focus on fluency and accuracy.",1,1,0,0,"lex=1(rare_avg=3.63: fluency(3.02), accuracy(4.24))"
159,#159 WFD,"Theory, of course, contributes to the community.",1,0,0,1,"lex=0(rare_avg=4.31: contributes(3.74), theory(4.88)) | dictation=list_enum"
160,#160 WFD,"Inflation affects the demand, pricing and consumption of most products.",1,0,0,2,"lex=0(rare_avg=4.09: pricing(4.04), inflation(4.14)) | dictation=list_enum; dense(6)"
161,#161 WFD,Information may soon disappear forever as fewer people are reading classical languages.,2,0,1,2,"lex=0(rare_avg=4.17: disappear(4.09), classical(4.26)) | grammar=modal(may) | dictation=long(12); dense(9)"
162,#162 WFD,Urban planners plant trees in cities for a better environment.,1,0,0,1,"lex=0(rare_avg=4.10: planners(3.55), urban(4.65)) | dictation=dense(7)"
163,#163 WFD,A number of assignments will be submitted to the conference.,1,0,1,0,"lex=0(rare_avg=4.10: assignments(3.88), submitted(4.32)) | grammar=passive(be submitted)"
164,#164 WFD,It is absolutely vital that you acknowledge all your sources.,1,0,0,0,"lex=0(rare_avg=4.28: acknowledge(4.18), vital(4.38))"
165,#165 WFD,It is absolutely vital to allocate your resources.,1,1,0,0,"lex=1(rare_avg=3.84: allocate(3.31), vital(4.38))"
166,#166 WFD,It is hard to observe the reaction of the character.,1,0,0,0,"lex=0(rare_avg=4.39: observe(4.06), reaction(4.73))"
167,#167 WFD,It is important for students to keep up with the deadline.,2,0,1,1,"lex=0(rare_avg=4.69: deadline(4.12), students(5.25)) | grammar=passive(is important) | dictation=long(11)"
168,#168 WFD,It is important to allocate your time wisely when revising.,1,1,1,0,"lex=1(rare_avg=3.25: revising(3.18), allocate(3.31)) | grammar=passive(is important)"
